role_raw,source_dataset,role_label_final
Database_Administrator,dataset1_avishek,database_administrator
Front_End_Developer,dataset1_avishek,frontend_developer
Java_Developer,dataset1_avishek,java_developer
Network_Administrator,dataset1_avishek,network_administrator
Project_manager,dataset1_avishek,project_manager
Python_Developer,dataset1_avishek,python_developer
Security_Analyst,dataset1_avishek,security_analyst
Software_Developer,dataset1_avishek,software_developer
Systems_Administrator,dataset1_avishek,systems_administrator
Web_Developer,dataset1_avishek,web_developer
Backend Developer,dataset2_jithin,backend_developer
Cloud Engineer,dataset2_jithin,cloud_engineer
Data Scientist,dataset2_jithin,data_scientist
Frontend Developer,dataset2_jithin,frontend_developer
Full Stack Developer,dataset2_jithin,fullstack_developer
Machine Learning Engineer,dataset2_jithin,ml_engineer
Mobile App Developer (iOS/Android),dataset2_jithin,mobile_app_developer
Python Developer,dataset2_jithin,python_developer
